File accession	File format	Output type	Experiment accession	Assay	Biosample term id	Biosample term name	Biosample type	Biosample life stage	Biosample sex	Biosample Age	Biosample organism	Biosample treatments	Biosample subcellular fraction term name	Biosample phase	Biosample synchronization stage	Experiment target	Antibody accession	Library made from	Library depleted in	Library extraction method	Library lysis method	Library crosslinking method	Library strand specific	Experiment date released	Project	RBNS protein concentration	Library fragmentation method	Library size range	Biological replicate(s)	Technical replicate	Read length	Mapped read length	Run type	Paired end	Paired with	Derived from	Size	Lab	md5sum	dbxrefs	File download URL	Assembly	Platform	Controlled by	File Status	Audit WARNING	Audit INTERNAL_ACTION	Audit NOT_COMPLIANT	Audit ERROR
ENCFF038JFX	bam	alignments	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF002DHV, ENCFF002DHW, ENCFF515BAC	13085185237	ENCODE Processing Pipeline	83c48d12fde1cbdaa16fd3e2277b4e16		https://www.encodeproject.org/files/ENCFF038JFX/@@download/ENCFF038JFX.bam	hg19			released				
ENCFF731VMU	bam	alignments	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF002DLP, ENCFF002DLQ, ENCFF515BAC	14637241584	ENCODE Processing Pipeline	aade2dccd7228e3d4a11db4bfa17c9e6		https://www.encodeproject.org/files/ENCFF731VMU/@@download/ENCFF731VMU.bam	hg19			released				
ENCFF696HCP	bigWig	minus strand signal of unique reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF038JFX	80718960	ENCODE Processing Pipeline	57f41000a588d6491ca456dff8046b94		https://www.encodeproject.org/files/ENCFF696HCP/@@download/ENCFF696HCP.bigWig	hg19			released				
ENCFF249EXY	bigWig	plus strand signal of all reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF038JFX	87256553	ENCODE Processing Pipeline	b2cdc75f33438613535507c1d036205e		https://www.encodeproject.org/files/ENCFF249EXY/@@download/ENCFF249EXY.bigWig	hg19			released				
ENCFF765AEL	bigWig	minus strand signal of all reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF038JFX	85111119	ENCODE Processing Pipeline	2ce5f34fa14b6b6c96e2330f371e156d		https://www.encodeproject.org/files/ENCFF765AEL/@@download/ENCFF765AEL.bigWig	hg19			released				
ENCFF412BKL	bigWig	plus strand signal of unique reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF038JFX	83044803	ENCODE Processing Pipeline	f96cdcebbf32a298acf8cc905135f1b3		https://www.encodeproject.org/files/ENCFF412BKL/@@download/ENCFF412BKL.bigWig	hg19			released				
ENCFF709CXM	bigWig	minus strand signal of unique reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF731VMU	89224513	ENCODE Processing Pipeline	8e24080da255ffc1210d621c8002fbb7		https://www.encodeproject.org/files/ENCFF709CXM/@@download/ENCFF709CXM.bigWig	hg19			released				
ENCFF819MAB	bigWig	plus strand signal of all reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF731VMU	96199886	ENCODE Processing Pipeline	16df6dac03d08e1bf0ea9587dc1fa137		https://www.encodeproject.org/files/ENCFF819MAB/@@download/ENCFF819MAB.bigWig	hg19			released				
ENCFF984ZBO	bigWig	plus strand signal of unique reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF731VMU	92042254	ENCODE Processing Pipeline	2c37aa6e6da0156baef2a2d35ffc6496		https://www.encodeproject.org/files/ENCFF984ZBO/@@download/ENCFF984ZBO.bigWig	hg19			released				
ENCFF315LSN	bigWig	minus strand signal of all reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF731VMU	93603912	ENCODE Processing Pipeline	5d394d4228c1eded36b095313d216782		https://www.encodeproject.org/files/ENCFF315LSN/@@download/ENCFF315LSN.bigWig	hg19			released				
ENCFF906GBB	bam	alignments	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF002DHV, ENCFF002DHW, ENCFF069ZCO	15406356492	ENCODE Processing Pipeline	9492995d69abe10080c39dd30a3b93b9		https://www.encodeproject.org/files/ENCFF906GBB/@@download/ENCFF906GBB.bam	hg19			released				
ENCFF104BWX	bam	transcriptome alignments	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF002DHV, ENCFF002DHW, ENCFF069ZCO	21335668242	ENCODE Processing Pipeline	67ba202d1f21bcd6062085bf545a5bc3		https://www.encodeproject.org/files/ENCFF104BWX/@@download/ENCFF104BWX.bam	hg19			released				
ENCFF452JCX	bam	alignments	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF002DLP, ENCFF002DLQ, ENCFF069ZCO	17141569084	ENCODE Processing Pipeline	ad11369bdf61b996e69c2ff6da4e432a		https://www.encodeproject.org/files/ENCFF452JCX/@@download/ENCFF452JCX.bam	hg19			released				
ENCFF978BKD	bam	transcriptome alignments	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF002DLP, ENCFF002DLQ, ENCFF069ZCO	24503712931	ENCODE Processing Pipeline	7c22828f957a1a470006e35715dae10c		https://www.encodeproject.org/files/ENCFF978BKD/@@download/ENCFF978BKD.bam	hg19			released				
ENCFF716XKI	bigWig	minus strand signal of unique reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF906GBB	85484740	ENCODE Processing Pipeline	3d0fa966ad736c1f7832879c0a627dae		https://www.encodeproject.org/files/ENCFF716XKI/@@download/ENCFF716XKI.bigWig	hg19			released				
ENCFF790YBN	bigWig	plus strand signal of all reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF906GBB	93532928	ENCODE Processing Pipeline	6ef398457b24a4786dbe3e9e7092fe0d		https://www.encodeproject.org/files/ENCFF790YBN/@@download/ENCFF790YBN.bigWig	hg19			released				
ENCFF373HNH	bigWig	minus strand signal of all reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF452JCX	101212204	ENCODE Processing Pipeline	e93144a1a510d8fc55f1b3396d7a8e12		https://www.encodeproject.org/files/ENCFF373HNH/@@download/ENCFF373HNH.bigWig	hg19			released				
ENCFF647ACN	bigWig	plus strand signal of unique reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF906GBB	87969354	ENCODE Processing Pipeline	c0bc5d601bc67020257d8153ada6b7c7		https://www.encodeproject.org/files/ENCFF647ACN/@@download/ENCFF647ACN.bigWig	hg19			released				
ENCFF788BJY	bigWig	minus strand signal of all reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF906GBB	91480961	ENCODE Processing Pipeline	98f7e1ef455c53b88f643da828908b94		https://www.encodeproject.org/files/ENCFF788BJY/@@download/ENCFF788BJY.bigWig	hg19			released				
ENCFF878QHL	bigWig	plus strand signal of all reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF452JCX	103634315	ENCODE Processing Pipeline	15c0bcdcc4853f75b3a90b00ff58d002		https://www.encodeproject.org/files/ENCFF878QHL/@@download/ENCFF878QHL.bigWig	hg19			released				
ENCFF443HRD	tsv	transcript quantifications	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF104BWX, ENCFF826ONU	26313350	ENCODE Processing Pipeline	7091b50e508c424a5c509088072d63ce		https://www.encodeproject.org/files/ENCFF443HRD/@@download/ENCFF443HRD.tsv	hg19			released				
ENCFF734DZX	bigWig	minus strand signal of unique reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF452JCX	94781233	ENCODE Processing Pipeline	9455aec8667d0eca364680f301c7a796		https://www.encodeproject.org/files/ENCFF734DZX/@@download/ENCFF734DZX.bigWig	hg19			released				
ENCFF455LOD	bigWig	plus strand signal of unique reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF452JCX	97718407	ENCODE Processing Pipeline	b87ce0eecfe1be2ebbf27afa28279e76		https://www.encodeproject.org/files/ENCFF455LOD/@@download/ENCFF455LOD.bigWig	hg19			released				
ENCFF721ABX	tsv	transcript quantifications	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF826ONU, ENCFF978BKD	26250804	ENCODE Processing Pipeline	4bf95424f2d8206c196f308206b622ee		https://www.encodeproject.org/files/ENCFF721ABX/@@download/ENCFF721ABX.tsv	hg19			released				
ENCFF469UTN	tsv	gene quantifications	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF104BWX, ENCFF826ONU	9572765	ENCODE Processing Pipeline	461f2e6d1110316d95e278c8968c637b		https://www.encodeproject.org/files/ENCFF469UTN/@@download/ENCFF469UTN.tsv	hg19			released				
ENCFF102BYU	tsv	gene quantifications	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF826ONU, ENCFF978BKD	9566127	ENCODE Processing Pipeline	8222c30b5cb050c6fc384fc4225c65d6		https://www.encodeproject.org/files/ENCFF102BYU/@@download/ENCFF102BYU.tsv	hg19			released				
ENCFF416LQB	bam	alignments	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF002DHV, ENCFF002DHW, ENCFF742NER	18144844020	ENCODE Processing Pipeline	d617dbf54af397bdb13c722e89ee6fd6		https://www.encodeproject.org/files/ENCFF416LQB/@@download/ENCFF416LQB.bam	GRCh38			released				
ENCFF138AYZ	bam	transcriptome alignments	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF002DHV, ENCFF002DHW, ENCFF742NER	21079332804	ENCODE Processing Pipeline	757b25e28deef138c331702d95d01665		https://www.encodeproject.org/files/ENCFF138AYZ/@@download/ENCFF138AYZ.bam	GRCh38			released				
ENCFF008RPQ	bigWig	plus strand signal of unique reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF416LQB	87999229	ENCODE Processing Pipeline	3add8ae74dcab87652623e2000c6090f		https://www.encodeproject.org/files/ENCFF008RPQ/@@download/ENCFF008RPQ.bigWig	GRCh38			released				
ENCFF561TVU	bigWig	plus strand signal of all reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF416LQB	94825921	ENCODE Processing Pipeline	e42be1f4d745f74d5ce64dc5483b80d7		https://www.encodeproject.org/files/ENCFF561TVU/@@download/ENCFF561TVU.bigWig	GRCh38			released				
ENCFF409OKA	bam	alignments	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF002DLP, ENCFF002DLQ, ENCFF742NER	18956921969	ENCODE Processing Pipeline	fdf8230a8c9dbfc74f0cc9482391880c		https://www.encodeproject.org/files/ENCFF409OKA/@@download/ENCFF409OKA.bam	GRCh38			released				
ENCFF737ZFT	bam	transcriptome alignments	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF002DLP, ENCFF002DLQ, ENCFF742NER	24377981484	ENCODE Processing Pipeline	ae8812d0cdb26889adb4f9d0ed5353f6		https://www.encodeproject.org/files/ENCFF737ZFT/@@download/ENCFF737ZFT.bam	GRCh38			released				
ENCFF335DSJ	bigWig	minus strand signal of unique reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF409OKA	94986436	ENCODE Processing Pipeline	f7d072550300b64578833ea1f7cb70cb		https://www.encodeproject.org/files/ENCFF335DSJ/@@download/ENCFF335DSJ.bigWig	GRCh38			released				
ENCFF540RUK	bigWig	plus strand signal of unique reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF409OKA	97753003	ENCODE Processing Pipeline	a00ce3fb069add6a04959677f4b9c2dc		https://www.encodeproject.org/files/ENCFF540RUK/@@download/ENCFF540RUK.bigWig	GRCh38			released				
ENCFF119DLM	bigWig	minus strand signal of unique reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF416LQB	85667493	ENCODE Processing Pipeline	306eeaddfcb409f3112f66a9956014df		https://www.encodeproject.org/files/ENCFF119DLM/@@download/ENCFF119DLM.bigWig	GRCh38			released				
ENCFF931SQJ	bigWig	plus strand signal of all reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF409OKA	104799660	ENCODE Processing Pipeline	4a030ef22f187532d59b679e465efe42		https://www.encodeproject.org/files/ENCFF931SQJ/@@download/ENCFF931SQJ.bigWig	GRCh38			released				
ENCFF132LLP	bigWig	minus strand signal of all reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF416LQB	92606876	ENCODE Processing Pipeline	8ae4c9c993dfce6475b49d00d066e034		https://www.encodeproject.org/files/ENCFF132LLP/@@download/ENCFF132LLP.bigWig	GRCh38			released				
ENCFF971NIN	bigWig	minus strand signal of all reads	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF409OKA	104866742	ENCODE Processing Pipeline	5c5be75d940b30e30f452d86cb4d84eb		https://www.encodeproject.org/files/ENCFF971NIN/@@download/ENCFF971NIN.bigWig	GRCh38			released				
ENCFF560OXD	tsv	gene quantifications	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF737ZFT, ENCFF940AZB	9915845	ENCODE Processing Pipeline	3fb878db1b2791860bdb100f19c1e986		https://www.encodeproject.org/files/ENCFF560OXD/@@download/ENCFF560OXD.tsv	GRCh38			released				
ENCFF888OXA	tsv	gene quantifications	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF138AYZ, ENCFF940AZB	9923991	ENCODE Processing Pipeline	78a209886dde7fb2f85b8958d9e87bce		https://www.encodeproject.org/files/ENCFF888OXA/@@download/ENCFF888OXA.tsv	GRCh38			released				
ENCFF966FPY	tsv	transcript quantifications	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF737ZFT, ENCFF940AZB	26655777	ENCODE Processing Pipeline	bfc90789a44e5162fbcfdebdf9af4e25		https://www.encodeproject.org/files/ENCFF966FPY/@@download/ENCFF966FPY.tsv	GRCh38			released				
ENCFF935KES	tsv	transcript quantifications	ENCSR535VTR	RNA-seq	EFO:0002059	HT1080	immortalized cell line	adult	male	35 year	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1							ENCFF138AYZ, ENCFF940AZB	26719379	ENCODE Processing Pipeline	0507286e75a50beba8849652725e0067		https://www.encodeproject.org/files/ENCFF935KES/@@download/ENCFF935KES.tsv	GRCh38			released				
ENCFF001RPB	fastq	reads	ENCSR000AEZ	RNA-seq	UBERON:0000948	heart	tissue	embryonic	female	28 week, 19 week	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	1	ENCFF001RPA		9167328584	Thomas Gingeras, CSHL	3587b059afe30711f7ee78642b087660	SRA:SRR3192434	https://www.encodeproject.org/files/ENCFF001RPB/@@download/ENCFF001RPB.fastq.gz		HiSeq 2000		released				
ENCFF001RMW	fastq	reads	ENCSR000AEZ	RNA-seq	UBERON:0000948	heart	tissue	embryonic	female	28 week, 19 week	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	2	ENCFF001RMX		7475638221	Thomas Gingeras, CSHL	d691443670c4ded13d06014cb33d2bd4	SRA:SRR3192433	https://www.encodeproject.org/files/ENCFF001RMW/@@download/ENCFF001RMW.fastq.gz		HiSeq 2000		released				
ENCFF001RMX	fastq	reads	ENCSR000AEZ	RNA-seq	UBERON:0000948	heart	tissue	embryonic	female	28 week, 19 week	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2	1	101		paired-ended	1	ENCFF001RMW		7398695019	Thomas Gingeras, CSHL	083f0939a9eb3792e21b19ab978d7ecf	SRA:SRR3192433	https://www.encodeproject.org/files/ENCFF001RMX/@@download/ENCFF001RMX.fastq.gz		HiSeq 2000		released				
ENCFF001RPA	fastq	reads	ENCSR000AEZ	RNA-seq	UBERON:0000948	heart	tissue	embryonic	female	28 week, 19 week	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				1	1	101		paired-ended	2	ENCFF001RPB		9273698961	Thomas Gingeras, CSHL	144f670d927f55a25bd26fa41d692494	SRA:SRR3192434	https://www.encodeproject.org/files/ENCFF001RPA/@@download/ENCFF001RPA.fastq.gz		HiSeq 2000		released				
ENCFF111DKK	bam	alignments	ENCSR000AEZ	RNA-seq	UBERON:0000948	heart	tissue	embryonic	female	28 week, 19 week	Homo sapiens							RNA	rRNA	see document	see document		True	2014-06-30	ENCODE				2							ENCFF001RMW, ENCFF001RMX, ENCFF700TXC	14215938819	ENCODE Processing Pipeline	cc070ccaf94c0eae44863f85d7f5f30c		https://www.encodeproject.org/files/ENCFF111DKK/@@download/ENCFF111DKK.bam	hg19			released				
